,seriesValue,seriesID,seriesName,topicID,jurisdictionName,industryCode,industryName,occupationCode,occupationName,agencyID,agencyName,periodCode,startDate,endDate,sourceCitation,sourceName,sourceOrganization,sourceUrl,documentationUrl,footNote
41,44706279.0,2,Total Words,1,Australia,0,No applicable code,0,Not applicable.,0,Not applicable,2019,2019-01-01,2019-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Stephen Strosko, and Walter Stover. RegData Australia (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-australia/.",RegData Australia (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-australia-documentation,
42,77963.0,1,Total Restrictions,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2008,2008-01-01,2008-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
43,9370583.0,2,Total Words,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2008,2008-01-01,2008-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
44,955690.0,1,Total Restrictions,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2008,2008-01-01,2008-12-31,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
45,89275441.0,2,Total Words,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2008,2008-01-01,2008-12-31,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
46,154791.0,1,Total Restrictions,1,Australia,0,No applicable code,0,Not applicable.,0,Not applicable,2008,2008-01-01,2008-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Stephen Strosko, and Walter Stover. RegData Australia (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-australia/.",RegData Australia (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-australia-documentation,
47,29894807.0,2,Total Words,1,Australia,0,No applicable code,0,Not applicable.,0,Not applicable,2008,2008-01-01,2008-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Stephen Strosko, and Walter Stover. RegData Australia (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-australia/.",RegData Australia (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-australia-documentation,
48,77299.0,1,Total Restrictions,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2006,2006-01-01,2006-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
49,9257686.0,2,Total Words,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2006,2006-01-01,2006-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
50,930196.0,1,Total Restrictions,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2006,2006-01-01,2006-12-31,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
51,86069320.0,2,Total Words,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2006,2006-01-01,2006-12-31,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
52,109087.0,1,Total Restrictions,1,Australia,0,No applicable code,0,Not applicable.,0,Not applicable,2006,2006-01-01,2006-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Stephen Strosko, and Walter Stover. RegData Australia (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-australia/.",RegData Australia (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-australia-documentation,
