Geography 2,geo_code,North American Industry Classification System (NAICS) 4,Reference period,avg_hr_wage
Quebec,24,Educational services,2012,28.75
Quebec,24,Educational services,2013,29.57
Quebec,24,Educational services,2014,30.65
Quebec,24,Educational services,2015,31.52
Quebec,24,Health care and social assistance,1997,16.64
Quebec,24,Health care and social assistance,1998,16.34
Quebec,24,Health care and social assistance,1999,16.45
Quebec,24,Health care and social assistance,2000,16.77
Quebec,24,Health care and social assistance,2001,17.16
Quebec,24,Health care and social assistance,2002,18
Quebec,24,Health care and social assistance,2003,18.1
Quebec,24,Health care and social assistance,2004,18.51
Quebec,24,Health care and social assistance,2005,19.33
Quebec,24,Health care and social assistance,2006,19.5
Quebec,24,Health care and social assistance,2007,20.2
Quebec,24,Health care and social assistance,2008,20.49
Quebec,24,Health care and social assistance,2009,21.43
Quebec,24,Health care and social assistance,2010,21.63
Quebec,24,Health care and social assistance,2011,21.82
Quebec,24,Health care and social assistance,2012,22.45
Quebec,24,Health care and social assistance,2013,22.55
Quebec,24,Health care and social assistance,2014,23.5
Quebec,24,Health care and social assistance,2015,23.82
Quebec,24,"Information, culture and recreation",1997,16.58
Quebec,24,"Information, culture and recreation",1998,16.66
Quebec,24,"Information, culture and recreation",1999,17.76
Quebec,24,"Information, culture and recreation",2000,17.41
Quebec,24,"Information, culture and recreation",2001,17.39
Quebec,24,"Information, culture and recreation",2002,17.22
Quebec,24,"Information, culture and recreation",2003,18.55
Quebec,24,"Information, culture and recreation",2004,18.83
Quebec,24,"Information, culture and recreation",2005,19.83
Quebec,24,"Information, culture and recreation",2006,19.55
Quebec,24,"Information, culture and recreation",2007,20.57
Quebec,24,"Information, culture and recreation",2008,20.08
Quebec,24,"Information, culture and recreation",2009,21.13
Quebec,24,"Information, culture and recreation",2010,22.05
Quebec,24,"Information, culture and recreation",2011,21.21
Quebec,24,"Information, culture and recreation",2012,21.98
Quebec,24,"Information, culture and recreation",2013,22.86
Quebec,24,"Information, culture and recreation",2014,22.57
Quebec,24,"Information, culture and recreation",2015,23.02
Quebec,24,Accommodation and food services,1997,9.09
Quebec,24,Accommodation and food services,1998,9.19
Quebec,24,Accommodation and food services,1999,9.3
Quebec,24,Accommodation and food services,2000,9.29
Quebec,24,Accommodation and food services,2001,9.75
Quebec,24,Accommodation and food services,2002,9.98
Quebec,24,Accommodation and food services,2003,10.5
Quebec,24,Accommodation and food services,2004,10.73
Quebec,24,Accommodation and food services,2005,11.09
Quebec,24,Accommodation and food services,2006,11.38
Quebec,24,Accommodation and food services,2007,11.53
Quebec,24,Accommodation and food services,2008,11.87
Quebec,24,Accommodation and food services,2009,12.49
Quebec,24,Accommodation and food services,2010,12.85
Quebec,24,Accommodation and food services,2011,13.32
Quebec,24,Accommodation and food services,2012,13.2
Quebec,24,Accommodation and food services,2013,13.5
Quebec,24,Accommodation and food services,2014,14.02
Quebec,24,Accommodation and food services,2015,14.21
Quebec,24,Other services (except public administration),1997,12.27
Quebec,24,Other services (except public administration),1998,12.47
Quebec,24,Other services (except public administration),1999,12.72
Quebec,24,Other services (except public administration),2000,13.5
Quebec,24,Other services (except public administration),2001,14.15
Quebec,24,Other services (except public administration),2002,13.64
Quebec,24,Other services (except public administration),2003,14.26
Quebec,24,Other services (except public administration),2004,14.79
Quebec,24,Other services (except public administration),2005,15.61
Quebec,24,Other services (except public administration),2006,16.14
Quebec,24,Other services (except public administration),2007,16.16
Quebec,24,Other services (except public administration),2008,17.05
Quebec,24,Other services (except public administration),2009,16.83
Quebec,24,Other services (except public administration),2010,17.65
Quebec,24,Other services (except public administration),2011,18.34
Quebec,24,Other services (except public administration),2012,19
Quebec,24,Other services (except public administration),2013,19.2
Quebec,24,Other services (except public administration),2014,19.89
Quebec,24,Other services (except public administration),2015,20.29
Quebec,24,Public administration,1997,19.34
Quebec,24,Public administration,1998,20.03
Quebec,24,Public administration,1999,20.32
Quebec,24,Public administration,2000,20.92
Quebec,24,Public administration,2001,21.82
Quebec,24,Public administration,2002,22.12
Quebec,24,Public administration,2003,23.27
Quebec,24,Public administration,2004,23.13
Quebec,24,Public administration,2005,24.13
Quebec,24,Public administration,2006,24.51
Quebec,24,Public administration,2007,25.32
Quebec,24,Public administration,2008,26.5
Quebec,24,Public administration,2009,27.49
Quebec,24,Public administration,2010,27.58
Quebec,24,Public administration,2011,27.47
Quebec,24,Public administration,2012,28.73
Quebec,24,Public administration,2013,29.56
Quebec,24,Public administration,2014,30.46
Quebec,24,Public administration,2015,31.55
Ontario,35,Agriculture 5,1997,10.11
Ontario,35,Agriculture 5,1998,11.26
Ontario,35,Agriculture 5,1999,10.45
Ontario,35,Agriculture 5,2000,10.39
Ontario,35,Agriculture 5,2001,11.08
Ontario,35,Agriculture 5,2002,10.7
Ontario,35,Agriculture 5,2003,11.04
Ontario,35,Agriculture 5,2004,11.5
Ontario,35,Agriculture 5,2005,12.1
Ontario,35,Agriculture 5,2006,12.57
Ontario,35,Agriculture 5,2007,12.46
Ontario,35,Agriculture 5,2008,13.99
Ontario,35,Agriculture 5,2009,14.06
Ontario,35,Agriculture 5,2010,14.08
Ontario,35,Agriculture 5,2011,14.56
Ontario,35,Agriculture 5,2012,15.55
Ontario,35,Agriculture 5,2013,14.71
Ontario,35,Agriculture 5,2014,16.21
Ontario,35,Agriculture 5,2015,17.05
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",1997,20.5
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",1998,21.44
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",1999,21.59
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2000,22.12
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2001,22.45
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2002,23.77
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2003,24.78
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2004,23.38
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2005,24.58
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2006,25.04
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2007,26.22
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2008,26.8
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2009,27.3
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2010,27.54
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2011,28.65
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2012,28.51
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2013,32.08
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2014,32.81
Ontario,35,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2015,32.4
Ontario,35,Construction,1997,17.5
Ontario,35,Construction,1998,17.92
Ontario,35,Construction,1999,17.98
Ontario,35,Construction,2000,18.75
Ontario,35,Construction,2001,19.44
Ontario,35,Construction,2002,19.82
Ontario,35,Construction,2003,20.09
Ontario,35,Construction,2004,20.37
Ontario,35,Construction,2005,21.24
Ontario,35,Construction,2006,21.57
Ontario,35,Construction,2007,22.13
Ontario,35,Construction,2008,23.11
Ontario,35,Construction,2009,23.73
Ontario,35,Construction,2010,23.68
Ontario,35,Construction,2011,24.34
Ontario,35,Construction,2012,24.4
Ontario,35,Construction,2013,25.19
Ontario,35,Construction,2014,25.79
Ontario,35,Construction,2015,27.34
Ontario,35,Manufacturing,1997,17.29
Ontario,35,Manufacturing,1998,17.36
Ontario,35,Manufacturing,1999,17.81
Ontario,35,Manufacturing,2000,18.74
Ontario,35,Manufacturing,2001,19.28
Ontario,35,Manufacturing,2002,19.47
Ontario,35,Manufacturing,2003,20.04
Ontario,35,Manufacturing,2004,20.36
Ontario,35,Manufacturing,2005,20.92
Ontario,35,Manufacturing,2006,21.99
Ontario,35,Manufacturing,2007,22.31
Ontario,35,Manufacturing,2008,23.17
Ontario,35,Manufacturing,2009,23.63
Ontario,35,Manufacturing,2010,24.02
Ontario,35,Manufacturing,2011,23.79
Ontario,35,Manufacturing,2012,24.02
Ontario,35,Manufacturing,2013,24.59
Ontario,35,Manufacturing,2014,24.92
Ontario,35,Manufacturing,2015,25.28
Ontario,35,Wholesale and retail trade,1997,12.4
Ontario,35,Wholesale and retail trade,1998,12.65
Ontario,35,Wholesale and retail trade,1999,13
Ontario,35,Wholesale and retail trade,2000,13.46
Ontario,35,Wholesale and retail trade,2001,13.86
Ontario,35,Wholesale and retail trade,2002,14.06
Ontario,35,Wholesale and retail trade,2003,14.18
Ontario,35,Wholesale and retail trade,2004,14.64
Ontario,35,Wholesale and retail trade,2005,15.03
Ontario,35,Wholesale and retail trade,2006,15.32
Ontario,35,Wholesale and retail trade,2007,15.57
Ontario,35,Wholesale and retail trade,2008,16.09
Ontario,35,Wholesale and retail trade,2009,17
Ontario,35,Wholesale and retail trade,2010,17.3
Ontario,35,Wholesale and retail trade,2011,17.43
Ontario,35,Wholesale and retail trade,2012,17.75
Ontario,35,Wholesale and retail trade,2013,18.02
Ontario,35,Wholesale and retail trade,2014,18.68
Ontario,35,Wholesale and retail trade,2015,19.72
Ontario,35,Transportation and warehousing,1997,15.97
Ontario,35,Transportation and warehousing,1998,16.37
Ontario,35,Transportation and warehousing,1999,16.52
Ontario,35,Transportation and warehousing,2000,17.4
Ontario,35,Transportation and warehousing,2001,18.02
Ontario,35,Transportation and warehousing,2002,18.18
Ontario,35,Transportation and warehousing,2003,18.41
Ontario,35,Transportation and warehousing,2004,18.92
Ontario,35,Transportation and warehousing,2005,19.07
Ontario,35,Transportation and warehousing,2006,19.53
Ontario,35,Transportation and warehousing,2007,20.47
Ontario,35,Transportation and warehousing,2008,20.97
Ontario,35,Transportation and warehousing,2009,21.71
Ontario,35,Transportation and warehousing,2010,22.72
Ontario,35,Transportation and warehousing,2011,22.62
Ontario,35,Transportation and warehousing,2012,22.71
Ontario,35,Transportation and warehousing,2013,22.84
Ontario,35,Transportation and warehousing,2014,22.78
Ontario,35,Transportation and warehousing,2015,23.74
Ontario,35,"Finance, insurance, real estate, rental and leasing",1997,17.72
Ontario,35,"Finance, insurance, real estate, rental and leasing",1998,18.05
Ontario,35,"Finance, insurance, real estate, rental and leasing",1999,19.21
Ontario,35,"Finance, insurance, real estate, rental and leasing",2000,19.65
Ontario,35,"Finance, insurance, real estate, rental and leasing",2001,20.68
Ontario,35,"Finance, insurance, real estate, rental and leasing",2002,21.31
Ontario,35,"Finance, insurance, real estate, rental and leasing",2003,21.23
Ontario,35,"Finance, insurance, real estate, rental and leasing",2004,21.97
Ontario,35,"Finance, insurance, real estate, rental and leasing",2005,22.83
Ontario,35,"Finance, insurance, real estate, rental and leasing",2006,23.6
Ontario,35,"Finance, insurance, real estate, rental and leasing",2007,24.49
Ontario,35,"Finance, insurance, real estate, rental and leasing",2008,25.86
Ontario,35,"Finance, insurance, real estate, rental and leasing",2009,25.68
Ontario,35,"Finance, insurance, real estate, rental and leasing",2010,25.49
Ontario,35,"Finance, insurance, real estate, rental and leasing",2011,26.63
Ontario,35,"Finance, insurance, real estate, rental and leasing",2012,28.15
Ontario,35,"Finance, insurance, real estate, rental and leasing",2013,27.77
Ontario,35,"Finance, insurance, real estate, rental and leasing",2014,29.43
Ontario,35,"Finance, insurance, real estate, rental and leasing",2015,30.01
Ontario,35,"Professional, scientific and technical services",1997,19.24
Ontario,35,"Professional, scientific and technical services",1998,19.58
Ontario,35,"Professional, scientific and technical services",1999,21.43
Ontario,35,"Professional, scientific and technical services",2000,22.55
Ontario,35,"Professional, scientific and technical services",2001,23.06
Ontario,35,"Professional, scientific and technical services",2002,23.97
Ontario,35,"Professional, scientific and technical services",2003,24.09
Ontario,35,"Professional, scientific and technical services",2004,25.23
Ontario,35,"Professional, scientific and technical services",2005,25.94
Ontario,35,"Professional, scientific and technical services",2006,26.51
Ontario,35,"Professional, scientific and technical services",2007,27.79
Ontario,35,"Professional, scientific and technical services",2008,28.8
Ontario,35,"Professional, scientific and technical services",2009,28.64
Ontario,35,"Professional, scientific and technical services",2010,28.64
Ontario,35,"Professional, scientific and technical services",2011,29.46
Ontario,35,"Professional, scientific and technical services",2012,31.12
Ontario,35,"Professional, scientific and technical services",2013,31.86
Ontario,35,"Professional, scientific and technical services",2014,31.58
Ontario,35,"Professional, scientific and technical services",2015,32.39
Ontario,35,"Business, building and other support services 8",1997,11.83
Ontario,35,"Business, building and other support services 8",1998,12.32
Ontario,35,"Business, building and other support services 8",1999,12.44
Ontario,35,"Business, building and other support services 8",2000,12.53
Ontario,35,"Business, building and other support services 8",2001,13.39
Ontario,35,"Business, building and other support services 8",2002,13.73
Ontario,35,"Business, building and other support services 8",2003,14.08
Ontario,35,"Business, building and other support services 8",2004,14.4
Ontario,35,"Business, building and other support services 8",2005,14.03
Ontario,35,"Business, building and other support services 8",2006,14.77
Ontario,35,"Business, building and other support services 8",2007,15.49
Ontario,35,"Business, building and other support services 8",2008,16.08
Ontario,35,"Business, building and other support services 8",2009,16.63
Ontario,35,"Business, building and other support services 8",2010,16.43
Ontario,35,"Business, building and other support services 8",2011,16.8
Ontario,35,"Business, building and other support services 8",2012,17.76
Ontario,35,"Business, building and other support services 8",2013,17.45
Ontario,35,"Business, building and other support services 8",2014,18.52
Ontario,35,"Business, building and other support services 8",2015,18.18
Ontario,35,Educational services,1997,22.03
Ontario,35,Educational services,1998,21.66
Ontario,35,Educational services,1999,22.04
Ontario,35,Educational services,2000,22.44
Ontario,35,Educational services,2001,22.75
Ontario,35,Educational services,2002,23.25
Ontario,35,Educational services,2003,23.75
Ontario,35,Educational services,2004,24.41
Ontario,35,Educational services,2005,25.6
Ontario,35,Educational services,2006,26.09
Ontario,35,Educational services,2007,26.65
Ontario,35,Educational services,2008,27.97
Ontario,35,Educational services,2009,28.6
Ontario,35,Educational services,2010,30.22
Ontario,35,Educational services,2011,30.67
Ontario,35,Educational services,2012,31.86
Ontario,35,Educational services,2013,32.32
Ontario,35,Educational services,2014,32.34
Ontario,35,Educational services,2015,33.03
Ontario,35,Health care and social assistance,1997,17.19
Ontario,35,Health care and social assistance,1998,17.07
Ontario,35,Health care and social assistance,1999,17.47
Ontario,35,Health care and social assistance,2000,18.01
Ontario,35,Health care and social assistance,2001,18.5
Ontario,35,Health care and social assistance,2002,19.39
Ontario,35,Health care and social assistance,2003,19.67
Ontario,35,Health care and social assistance,2004,20.55
Ontario,35,Health care and social assistance,2005,21.25
Ontario,35,Health care and social assistance,2006,21.69
Ontario,35,Health care and social assistance,2007,22.58
Ontario,35,Health care and social assistance,2008,23.61
Ontario,35,Health care and social assistance,2009,24.22
Ontario,35,Health care and social assistance,2010,24.6
Ontario,35,Health care and social assistance,2011,25.37
Ontario,35,Health care and social assistance,2012,25.5
Ontario,35,Health care and social assistance,2013,26.08
Ontario,35,Health care and social assistance,2014,25.86
Ontario,35,Health care and social assistance,2015,26.35
Ontario,35,"Information, culture and recreation",1997,16.72
Ontario,35,"Information, culture and recreation",1998,17.46
Ontario,35,"Information, culture and recreation",1999,17.66
Ontario,35,"Information, culture and recreation",2000,17.39
Ontario,35,"Information, culture and recreation",2001,18.71
Ontario,35,"Information, culture and recreation",2002,17.78
Ontario,35,"Information, culture and recreation",2003,18.06
Ontario,35,"Information, culture and recreation",2004,18.94
Ontario,35,"Information, culture and recreation",2005,19.61
Ontario,35,"Information, culture and recreation",2006,20.22
Ontario,35,"Information, culture and recreation",2007,21.03
Ontario,35,"Information, culture and recreation",2008,21.49
Ontario,35,"Information, culture and recreation",2009,21.63
Ontario,35,"Information, culture and recreation",2010,22.56
Ontario,35,"Information, culture and recreation",2011,23.09
Ontario,35,"Information, culture and recreation",2012,22.93
Ontario,35,"Information, culture and recreation",2013,23.92
Ontario,35,"Information, culture and recreation",2014,23.26
Ontario,35,"Information, culture and recreation",2015,24.96
Ontario,35,Accommodation and food services,1997,9.07
Ontario,35,Accommodation and food services,1998,9.27
Ontario,35,Accommodation and food services,1999,9.34
Ontario,35,Accommodation and food services,2000,9.44
Ontario,35,Accommodation and food services,2001,9.79
Ontario,35,Accommodation and food services,2002,9.99
Ontario,35,Accommodation and food services,2003,10.32
Ontario,35,Accommodation and food services,2004,10.29
Ontario,35,Accommodation and food services,2005,10.92
Ontario,35,Accommodation and food services,2006,11.02
Ontario,35,Accommodation and food services,2007,11.28
Ontario,35,Accommodation and food services,2008,11.62
Ontario,35,Accommodation and food services,2009,12.3
Ontario,35,Accommodation and food services,2010,12.73
Ontario,35,Accommodation and food services,2011,13.04
Ontario,35,Accommodation and food services,2012,13.46
Ontario,35,Accommodation and food services,2013,13.41
Ontario,35,Accommodation and food services,2014,13.8
Ontario,35,Accommodation and food services,2015,13.98
Ontario,35,Other services (except public administration),1997,13.49
Ontario,35,Other services (except public administration),1998,13.61
Ontario,35,Other services (except public administration),1999,13.85
Ontario,35,Other services (except public administration),2000,14.84
Ontario,35,Other services (except public administration),2001,15.11
Ontario,35,Other services (except public administration),2002,15.2
Ontario,35,Other services (except public administration),2003,15.75
Ontario,35,Other services (except public administration),2004,16.14
Ontario,35,Other services (except public administration),2005,16.64
Ontario,35,Other services (except public administration),2006,16.7
Ontario,35,Other services (except public administration),2007,17.46
Ontario,35,Other services (except public administration),2008,17.5
Ontario,35,Other services (except public administration),2009,18.91
Ontario,35,Other services (except public administration),2010,18.47
Ontario,35,Other services (except public administration),2011,19.82
Ontario,35,Other services (except public administration),2012,20.69
Ontario,35,Other services (except public administration),2013,21.43
Ontario,35,Other services (except public administration),2014,21.14
Ontario,35,Other services (except public administration),2015,21.77
Ontario,35,Public administration,1997,20.44
Ontario,35,Public administration,1998,20.68
Ontario,35,Public administration,1999,21.83
Ontario,35,Public administration,2000,22.66
Ontario,35,Public administration,2001,23.51
Ontario,35,Public administration,2002,24.88
Ontario,35,Public administration,2003,25.84
Ontario,35,Public administration,2004,26.76
Ontario,35,Public administration,2005,27.43
Ontario,35,Public administration,2006,28.73
Ontario,35,Public administration,2007,29.08
Ontario,35,Public administration,2008,30.19
Ontario,35,Public administration,2009,31.25
Ontario,35,Public administration,2010,32.22
Ontario,35,Public administration,2011,33.12
Ontario,35,Public administration,2012,33.92
Ontario,35,Public administration,2013,34.52
Ontario,35,Public administration,2014,35.05
Ontario,35,Public administration,2015,36.3
Manitoba,46,Agriculture 5,1997,9.85
Manitoba,46,Agriculture 5,1998,10.28
Manitoba,46,Agriculture 5,1999,10.19
Manitoba,46,Agriculture 5,2000,10.65
Manitoba,46,Agriculture 5,2001,10.91
Manitoba,46,Agriculture 5,2002,11.26
Manitoba,46,Agriculture 5,2003,11.9
Manitoba,46,Agriculture 5,2004,12.25
Manitoba,46,Agriculture 5,2005,13.38
Manitoba,46,Agriculture 5,2006,12.08
Manitoba,46,Agriculture 5,2007,13.78
Manitoba,46,Agriculture 5,2008,13.7
Manitoba,46,Agriculture 5,2009,14.44
Manitoba,46,Agriculture 5,2010,15.61
Manitoba,46,Agriculture 5,2011,15.73
Manitoba,46,Agriculture 5,2012,16.82
Manitoba,46,Agriculture 5,2013,15.75
Manitoba,46,Agriculture 5,2014,17.55
Manitoba,46,Agriculture 5,2015,17.21
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",1997,18.61
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",1998,19.34
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",1999,19.95
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2000,21.03
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2001,21
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2002,20.72
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2003,20.31
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2004,21.13
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2005,22.57
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2006,21.28
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2007,24.79
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2008,25.63
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2009,24.6
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2010,26.27
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2011,26.34
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2012,28.3
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2013,29.19
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2014,29.84
Manitoba,46,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2015,30.71
Manitoba,46,Construction,1997,13.82
Manitoba,46,Construction,1998,14.9
Manitoba,46,Construction,1999,15.29
Manitoba,46,Construction,2000,15.45
Manitoba,46,Construction,2001,15.99
Manitoba,46,Construction,2002,16.46
Manitoba,46,Construction,2003,16.32
Manitoba,46,Construction,2004,16.72
Manitoba,46,Construction,2005,17.98
Manitoba,46,Construction,2006,17.94
Manitoba,46,Construction,2007,18.62
Manitoba,46,Construction,2008,19.78
Manitoba,46,Construction,2009,20.45
Manitoba,46,Construction,2010,21.49
Manitoba,46,Construction,2011,21.75
Manitoba,46,Construction,2012,22.89
Manitoba,46,Construction,2013,23.19
Manitoba,46,Construction,2014,23.39
Manitoba,46,Construction,2015,24.86
Manitoba,46,Manufacturing,1997,13.41
Manitoba,46,Manufacturing,1998,13.58
Manitoba,46,Manufacturing,1999,13.93
Manitoba,46,Manufacturing,2000,14.59
Manitoba,46,Manufacturing,2001,14.95
Manitoba,46,Manufacturing,2002,15.38
Manitoba,46,Manufacturing,2003,15.83
Manitoba,46,Manufacturing,2004,15.92
Manitoba,46,Manufacturing,2005,16.43
Manitoba,46,Manufacturing,2006,16.76
Manitoba,46,Manufacturing,2007,17.53
Manitoba,46,Manufacturing,2008,18.08
Manitoba,46,Manufacturing,2009,19.55
Manitoba,46,Manufacturing,2010,19.42
Manitoba,46,Manufacturing,2011,19.81
Manitoba,46,Manufacturing,2012,20.27
Manitoba,46,Manufacturing,2013,21.03
Manitoba,46,Manufacturing,2014,21.23
Manitoba,46,Manufacturing,2015,22.37
Manitoba,46,Wholesale and retail trade,1997,11.49
Manitoba,46,Wholesale and retail trade,1998,11.38
Manitoba,46,Wholesale and retail trade,1999,11.81
Manitoba,46,Wholesale and retail trade,2000,12.35
Manitoba,46,Wholesale and retail trade,2001,12.49
Manitoba,46,Wholesale and retail trade,2002,12.92
Manitoba,46,Wholesale and retail trade,2003,13.12
Manitoba,46,Wholesale and retail trade,2004,13.57
Manitoba,46,Wholesale and retail trade,2005,13.74
Manitoba,46,Wholesale and retail trade,2006,14.1
Manitoba,46,Wholesale and retail trade,2007,14.67
Manitoba,46,Wholesale and retail trade,2008,15.21
Manitoba,46,Wholesale and retail trade,2009,15.69
Manitoba,46,Wholesale and retail trade,2010,15.9
Manitoba,46,Wholesale and retail trade,2011,16.83
Manitoba,46,Wholesale and retail trade,2012,17.45
Manitoba,46,Wholesale and retail trade,2013,17.33
Manitoba,46,Wholesale and retail trade,2014,17.95
Manitoba,46,Wholesale and retail trade,2015,18.47
Manitoba,46,Transportation and warehousing,1997,15.45
Manitoba,46,Transportation and warehousing,1998,15.94
Manitoba,46,Transportation and warehousing,1999,16.55
Manitoba,46,Transportation and warehousing,2000,17.41
Manitoba,46,Transportation and warehousing,2001,17.15
Manitoba,46,Transportation and warehousing,2002,17.94
Manitoba,46,Transportation and warehousing,2003,17.85
Manitoba,46,Transportation and warehousing,2004,18.84
Manitoba,46,Transportation and warehousing,2005,18.88
Manitoba,46,Transportation and warehousing,2006,19.52
Manitoba,46,Transportation and warehousing,2007,19.84
Manitoba,46,Transportation and warehousing,2008,20.49
Manitoba,46,Transportation and warehousing,2009,21.28
Manitoba,46,Transportation and warehousing,2010,22.49
Manitoba,46,Transportation and warehousing,2011,22.32
Manitoba,46,Transportation and warehousing,2012,22.08
Manitoba,46,Transportation and warehousing,2013,22.88
Manitoba,46,Transportation and warehousing,2014,23.31
Manitoba,46,Transportation and warehousing,2015,23.5
Manitoba,46,"Finance, insurance, real estate, rental and leasing",1997,14.45
Manitoba,46,"Finance, insurance, real estate, rental and leasing",1998,14.59
Manitoba,46,"Finance, insurance, real estate, rental and leasing",1999,15.93
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2000,15.95
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2001,15.6
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2002,17.25
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2003,16.92
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2004,17.81
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2005,17.86
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2006,18.52
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2007,20.3
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2008,21.06
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2009,21.47
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2010,22.27
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2011,23.15
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2012,22.45
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2013,22.53
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2014,24.76
Manitoba,46,"Finance, insurance, real estate, rental and leasing",2015,24.69
Manitoba,46,"Professional, scientific and technical services",1997,15.01
Manitoba,46,"Professional, scientific and technical services",1998,15.63
Manitoba,46,"Professional, scientific and technical services",1999,16.1
Manitoba,46,"Professional, scientific and technical services",2000,16.67
Manitoba,46,"Professional, scientific and technical services",2001,17.26
Manitoba,46,"Professional, scientific and technical services",2002,17.84
Manitoba,46,"Professional, scientific and technical services",2003,18.56
Manitoba,46,"Professional, scientific and technical services",2004,19.98
Manitoba,46,"Professional, scientific and technical services",2005,19.62
Manitoba,46,"Professional, scientific and technical services",2006,20.15
Manitoba,46,"Professional, scientific and technical services",2007,22.19
Manitoba,46,"Professional, scientific and technical services",2008,22.21
Manitoba,46,"Professional, scientific and technical services",2009,22.57
Manitoba,46,"Professional, scientific and technical services",2010,24.41
Manitoba,46,"Professional, scientific and technical services",2011,25.59
Manitoba,46,"Professional, scientific and technical services",2012,26.18
Manitoba,46,"Professional, scientific and technical services",2013,26.56
Manitoba,46,"Professional, scientific and technical services",2014,25.98
Manitoba,46,"Professional, scientific and technical services",2015,26.46
Manitoba,46,"Business, building and other support services 8",1997,10.41
Manitoba,46,"Business, building and other support services 8",1998,10.61
Manitoba,46,"Business, building and other support services 8",1999,10.65
Manitoba,46,"Business, building and other support services 8",2000,10.91
Manitoba,46,"Business, building and other support services 8",2001,11.37
Manitoba,46,"Business, building and other support services 8",2002,11.58
Manitoba,46,"Business, building and other support services 8",2003,11.01
Manitoba,46,"Business, building and other support services 8",2004,11.77
Manitoba,46,"Business, building and other support services 8",2005,12.11
Manitoba,46,"Business, building and other support services 8",2006,12.38
Manitoba,46,"Business, building and other support services 8",2007,13.09
Manitoba,46,"Business, building and other support services 8",2008,14.17
Manitoba,46,"Business, building and other support services 8",2009,13.45
Manitoba,46,"Business, building and other support services 8",2010,14.88
Manitoba,46,"Business, building and other support services 8",2011,15.5
Manitoba,46,"Business, building and other support services 8",2012,15.49
Manitoba,46,"Business, building and other support services 8",2013,15.1
Manitoba,46,"Business, building and other support services 8",2014,17.04
