"","term","estimate","std.error","statistic","p.value"
"231","industryAgriculture 5:year2013",0.430999999999836,1.42155962855508,0.303188126155438,0.761772862987993
"232","industryBusiness, building and other support services 8:year2013",2.06399999999989,1.42155962855509,1.45192643244785,0.146653206750203
"233","industryConstruction:year2013",4.33299999999983,1.42155962855509,3.04806067432008,0.00232843578479069
"234","industryEducational services:year2013",4.79299999999993,1.4215596285551,3.37164892961377,0.000759076661727097
"235","industryFinance, insurance, real estate, rental and leasing:year2013",3.98599999999989,1.42155962855509,2.80396257739211,0.00508861575189706
"236","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2013",6.37799999999989,1.42155962855508,4.48662150491899,7.57852614856903e-06
"237","industryHealth care and social assistance:year2013",4.21899999999988,1.42155962855509,2.96786706322561,0.00302849731431826
"238","industryInformation, culture and recreation:year2013",1.87999999999987,1.42155962855509,1.32249113033039,0.186131090871922
"239","industryManufacturing:year2013",3.01699999999989,1.42155962855509,2.12231688308878,0.03391362890909
"240","industryOther services (except public administration):year2013",2.57099999999987,1.42155962855509,1.80857696599973,0.0706422721250568
"241","industryProfessional, scientific and technical services:year2013",6.51699999999986,1.42155962855509,4.58440143423595,4.78725143252293e-06
"242","industryTransportation and warehousing:year2013",2.96099999999986,1.42155962855509,2.08292353027041,0.0373641768528046
"243","industryWholesale and retail trade:year2013",1.11099999999988,1.42155962855509,0.781535981806915,0.434564668643508
"244","industryAgriculture 5:year2014",1.08899999999986,1.42155962855508,0.76606002177113,0.443716176278477
"245","industryBusiness, building and other support services 8:year2014",2.32899999999987,1.42155962855509,1.63834140560613,0.101482012885238
"246","industryConstruction:year2014",4.89499999999981,1.42155962855508,3.44340110796143,0.000584328809050976
"247","industryEducational services:year2014",4.7739999999999,1.42155962855509,3.35828332776468,0.000796568302072247
"248","industryFinance, insurance, real estate, rental and leasing:year2014",5.2309999999999,1.42155962855509,3.6797612248716,0.000238609170432139
"249","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2014",6.6699999999999,1.42155962855508,4.69202970175756,2.85759884154556e-06
"250","industryHealth care and social assistance:year2014",4.24599999999987,1.42155962855509,2.98686028690588,0.00284721505931824
